,p,x,y,Pd,Pt,Ru
73,74,36.0,-22.5,0.2359465294777762,0.07198611915980603,0.6920673513624178
74,75,40.5,-22.5,0.23580326042517435,0.03787054135456662,0.726326198220259
75,76,-40.5,-18.0,0.22387346892700621,0.6543454308150016,0.1217811002579921
76,77,-36.0,-18.0,0.22373021960327247,0.6202273445896628,0.15604243580706467
77,78,-31.5,-18.0,0.22358697087672066,0.5861094005967781,0.1903036285265013
78,79,-27.0,-18.0,0.22344372274734695,0.5519915988354581,0.2245646784171949
79,80,-22.5,-18.0,0.22330047521514762,0.5178739393048135,0.25882558548003876
80,81,-18.0,-18.0,0.22315722828011905,0.48375642200395486,0.29308634971592606
81,82,-13.5,-18.0,0.22301398194225736,0.44963904693199275,0.32734697112574984
82,83,-9.0,-18.0,0.2228707362015589,0.4155218140880378,0.3616074497104032
83,84,-4.5,-18.0,0.22272749105801995,0.3814047234712007,0.3958677854707794
84,85,0.0,-18.0,0.2225842465116367,0.347287775080592,0.4301279784077713
85,86,4.5,-18.0,0.22244100256240545,0.31317096891532237,0.46438802852227207
86,87,9.0,-18.0,0.2222977592103225,0.27905430497450245,0.498647935815175
87,88,13.5,-18.0,0.2221545164553841,0.2449377832572429,0.532907700287373
88,89,18.0,-18.0,0.22201127429758644,0.21082140376265443,0.5671673219397592
89,90,22.5,-18.0,0.2218680327369259,0.17670516648984766,0.6014268007732264
90,91,27.0,-18.0,0.22172479177339868,0.14258907143793323,0.635686136788668
91,92,31.5,-18.0,0.22158155140700106,0.10847311860602189,0.6699453299869771
92,93,36.0,-18.0,0.22143831163772934,0.07435730799322432,0.7042043803690464
93,94,40.5,-18.0,0.2212950724655797,0.040241639598651194,0.738463287935769
94,95,-45.0,-13.5,0.20950789028733374,0.690836490755147,0.09965561895751922
95,96,-40.5,-13.5,0.2093646702493838,0.6567181716934257,0.13391715805719043
96,97,-36.0,-13.5,0.20922145080849636,0.622599994865783,0.16817855432572065
97,98,-31.5,-13.5,0.2090782319646677,0.588481960271329,0.20243980776400317
98,99,-27.0,-13.5,0.20893501371789414,0.5543640679091748,0.23670091837293106
