,p,x,y,Ag,Pd,Pt
99,100,-22.5,-13.5,0.1817072532223987,0.2556399834287603,0.562652763348841
100,101,-18.0,-13.5,0.19983313798838043,0.26205083880341806,0.5381160232082016
101,102,-13.5,-13.5,0.21795928716034552,0.26846178769453255,0.5135789251451219
102,103,-9.0,-13.5,0.23608570074407945,0.27487283010415003,0.4890414691517704
103,104,-4.5,-13.5,0.2542123787453679,0.28128396603431693,0.4645036552203152
104,105,0.0,-13.5,0.27233932116999654,0.28769519548707945,0.439965483342924
105,106,4.5,-13.5,0.2904665280237514,0.29410651846448405,0.4154269535117645
106,107,9.0,-13.5,0.30859399931241877,0.30051793496857726,0.3908880657190042
107,108,13.5,-13.5,0.32672173504178464,0.30692944500140545,0.36634881995681
108,109,18.0,-13.5,0.3448497352176356,0.31334104856501527,0.34180921621734905
109,110,22.5,-13.5,0.3629779998457584,0.31975274566145345,0.317269254492788
110,111,27.0,-13.5,0.3811065289319399,0.32616453629276676,0.29272893477529344
111,112,31.5,-13.5,0.3992353224819668,0.33257642046100166,0.26818825705703137
112,113,36.0,-13.5,0.41736438050162655,0.33898839816820536,0.24364722133016814
113,114,40.5,-13.5,0.43549370299670626,0.3454004694164245,0.21910582758686933
114,115,45.0,-13.5,0.4536232899729934,0.35181263420770603,0.19456407581930055
115,116,-45.0,-9.0,0.11888715523186963,0.19934798460872696,0.6817648601594035
116,117,-40.5,-9.0,0.1370123594809507,0.2057583507812521,0.6572292897377973
117,118,-36.0,-9.0,0.15513782812284505,0.21216881046195085,0.632693361415204
118,119,-31.5,-9.0,0.17326356116333785,0.21857936365286937,0.6081570751837928
119,120,-27.0,-9.0,0.1913895586082143,0.22499001035605365,0.5836204310357321
120,121,-22.5,-9.0,0.2095158204632599,0.23140075057354983,0.5590834289631904
121,122,-18.0,-9.0,0.22764234673426012,0.23781158430740412,0.5345460689583358
122,123,-13.5,-9.0,0.24576913742700085,0.24422251155966276,0.5100083510133363
123,124,-9.0,-9.0,0.2638961925472681,0.2506335323323722,0.4854702751203598
124,125,-4.5,-9.0,0.2820235121008478,0.2570446466275787,0.4609318412715736
125,126,0.0,-9.0,0.30015109609352636,0.26345585444732866,0.4363930494591449
126,127,4.5,-9.0,0.3182789445310902,0.26986715579366866,0.4118538996752411
127,128,9.0,-9.0,0.33640705741932597,0.2762785506686454,0.38731439191202877
128,129,13.5,-9.0,0.35453543476402033,0.2826900390743052,0.36277452616167444
129,130,18.0,-9.0,0.3726640765709603,0.2891016210126949,0.33823430241634467
130,131,22.5,-9.0,0.3907929828459332,0.2955132964858614,0.3136937206682056
131,132,27.0,-9.0,0.408922153594726,0.30192506549585113,0.2891527809094228
132,133,31.5,-9.0,0.42705158882312644,0.3083369280447113,0.2646114831321623
133,134,36.0,-9.0,0.44518128853692196,0.3147488841344886,0.24006982732858953
134,135,40.5,-9.0,0.4633112527419004,0.3211609337672301,0.21552781349086952
135,136,45.0,-9.0,0.4814414814438498,0.3275730769449829,0.19098544161116737
136,137,-45.0,-4.5,0.14669386103081014,0.17510768675434743,0.6781984522148423
137,138,-40.5,-4.5,0.16481970674699445,0.18151803126672755,0.653662261986278
138,139,-36.0,-4.5,0.18294581687174807,0.18792846928922838,0.6291257138390236
139,140,-31.5,-4.5,0.2010721914108566,0.19433900082389607,0.6045888077652473
140,141,-27.0,-4.5,0.21919883037010587,0.20074962587277684,0.5800515437571173
141,142,-22.5,-4.5,0.23732573375528174,0.20716034443791687,0.5555139218068015
142,143,-18.0,-4.5,0.25545290157217027,0.21357115652136244,0.5309759419064672
143,144,-13.5,-4.5,0.2735803338265577,0.21998206212515997,0.5064376040482823
144,145,-9.0,-4.5,0.2917080305242306,0.22639306125135578,0.48189890822441356
145,146,-4.5,-4.5,0.30983599167097553,0.23280415390199646,0.45735985442702803
146,147,0.0,-4.5,0.3279642172725791,0.23921534007912845,0.4328204426482924
147,148,4.5,-4.5,0.3460927073348284,0.24562661978479838,0.4082806728803732
148,149,9.0,-4.5,0.3642214618635105,0.25203799302105295,0.38374054511543654
149,150,13.5,-4.5,0.3823504808644126,0.2584494597899388,0.3592000593456485
150,151,18.0,-4.5,0.4004797643433222,0.2648610200935027,0.334659215563175
151,152,22.5,-4.5,0.41860931230602694,0.2712726739337916,0.31011801376018144
152,153,27.0,-4.5,0.43673912475831456,0.27768442131285226,0.28557645392883313
153,154,31.5,-4.5,0.4548692017059731,0.2840962622327317,0.26103453606129534
154,155,36.0,-4.5,0.4729995431547905,0.2905081966954769,0.23649226014973274
155,156,40.5,-4.5,0.491130149110555,0.29692022470313484,0.21194962618631005
156,157,45.0,-4.5,0.5092610195790555,0.30333234625775285,0.18740663416319175
157,158,-45.0,0.0,0.17450191277429894,0.15086621558238836,0.6746318716433127
158,159,-40.5,0.0,0.19262839999845305,0.15727653842501704,0.6500950615765301
159,160,-36.0,0.0,0.21075515164693384,0.16368695477971348,0.6255578935733527
160,161,-31.5,0.0,0.22888216772552747,0.17009746464852388,0.6010203676259486
161,162,-27.0,0.0,0.24700944824002027,0.17650806803349464,0.5764824837264853
162,163,-22.5,0.0,0.26513699319619843,0.1829187649366719,0.5519442418671296
163,164,-18.0,0.0,0.2832648025998486,0.1893295553601021,0.5274056420400491
164,165,-13.5,0.0,0.3013928764567576,0.1957404393058318,0.5028666842374105
165,166,-9.0,0.0,0.31952121477271234,0.2021514167759074,0.47832736845138035
166,167,-4.5,0.0,0.33764981755349976,0.20856248777237543,0.45378769467412466
167,168,0.0,0.0,0.35577868480490726,0.21497365229728269,0.42924766289781
168,169,4.5,0.0,0.37390781653272215,0.22138491035267566,0.40470727311460203
169,170,9.0,0.0,0.3920372127427322,0.2277962619406012,0.3801665253166665
170,171,13.5,0.0,0.410166873440725,0.23420770706310615,0.3556254194961689
171,172,18.0,0.0,0.42829679863248854,0.2406192457222373,0.3310839556452743
172,173,22.5,0.0,0.4464269883238108,0.24703087792004153,0.30654213375614764
173,174,27.0,0.0,0.4645574425204802,0.25344260365856597,0.2819999538209539
174,175,31.5,0.0,0.4826881612282851,0.25985442293985755,0.25745741583185744
175,176,36.0,0.0,0.5008191444530141,0.2662663357659634,0.23291451978102254
176,177,40.5,0.0,0.5189503922004558,0.27267834213893066,0.20837126566061334
177,178,45.0,0.0,0.5370819044763997,0.2790904420608067,0.18382765346279373
178,179,-45.0,4.5,0.2023113105600611,0.12662357100765842,0.6710651184322804
179,180,-40.5,4.5,0.2204384393330553,0.13303387217092796,0.6465276884960168
180,181,-36.0,4.5,0.23856583254613498,0.13944426684821223,0.6219899006056527
181,182,-31.5,4.5,0.25669349020508675,0.1458547550415576,0.5974517547533555
182,183,-27.0,4.5,0.27482141231569734,0.1522653367530104,0.5729132509312923
183,184,-22.5,4.5,0.29294959888375355,0.15867601198461703,0.5483743891316294
184,185,-18.0,4.5,0.3110780499150425,0.16508678073842403,0.5238351693465334
185,186,-13.5,4.5,0.3292067654153515,0.17149764301647785,0.4992955915681707
186,187,-9.0,4.5,0.34733574539046774,0.17790859882082516,0.4747556557887071
187,188,-4.5,4.5,0.36546498984617903,0.1843196481535126,0.45021536200030843
188,189,0.0,4.5,0.38359449878827284,0.19073079101658683,0.4256747101951402
189,190,4.5,4.5,0.40172427222253737,0.19714202741209474,0.4011337003653679
190,191,9.0,4.5,0.41985431015476044,0.20355335734208307,0.3765923325031563
191,192,13.5,4.5,0.43798461259073057,0.20996478080859876,0.35205060660067067
192,193,18.0,4.5,0.4561151795362358,0.2163762978136888,0.3275085226500754
193,194,22.5,4.5,0.47424601099706504,0.22278790835940013,0.30296608064353475
194,195,27.0,4.5,0.49237710697900683,0.2291996124477799,0.27842328057321325
195,196,31.5,4.5,0.5105084674878503,0.23561141008087522,0.25388012243127456
196,197,36.0,4.5,0.5286400925293842,0.24202330126073324,0.2293366062098825
197,198,40.5,4.5,0.5467719821093981,0.24843528598940126,0.20479273190120062
198,199,45.0,4.5,0.5649041362336813,0.2548473642689266,0.18024849949739208
199,200,-45.0,9.0,0.23012205448583137,0.10237975294495817,0.6674981925692106
200,201,-40.5,9.0,0.2482498248485396,0.10879003241925951,0.6429601427322008
